avgHeartRate,totalSteps,recordCount,fall_risk_label
85.5,195,260,0
95.1,92,498,1
74.2,525,215,0
109.2,35,500,1
82.8,238,305,0
99.7,10,448,1
71.9,575,165,0
107.1,22,332,1
87.2,168,290,0
96.7,80,500,1
75.1,398,195,0
111.8,18,500,1
80.2,275,330,0
97.5,48,428,1
68.1,642,175,0
103.5,32,385,1
84.1,188,265,0
95.8,85,500,1
73.5,538,218,0
108.8,42,500,1
83.5,242,310,0
100.1,12,452,1
70.8,602,168,0
106.5,26,335,1
86.5,165,295,0
96.2,88,500,1
76.5,342,198,0
111.1,15,500,1
81.1,252,335,0
98.2,40,432,1
69.2,628,178,0
104.2,28,388,1
85.2,192,270,0
95.5,95,500,1
74.8,522,222,0
109.5,45,500,1
82.2,245,315,0
99.4,18,455,1
71.2,582,172,0
107.8,32,338,1
87.8,158,300,0
96.9,82,500,1
75.5,388,202,0
112.5,20,500,1
80.5,268,340,0
97.1,45,435,1
68.5,645,182,0
105.1,25,392,1
84.5,185,275,0
95.2,92,500,1
72.5,548,225,0
108.2,35,500,1
83.8,232,320,0
100.5,12,458,1
70.2,598,175,0
106.8,30,342,1
86.2,172,305,0
96.5,85,500,1
76.2,355,205,0
110.5,15,500,1
81.8,242,345,0
98.5,42,438,1
69.5,620,185,0
105.4,32,395,1
85.8,198,280,0
95.9,80,500,1
73.2,535,228,0
109.8,48,500,1
82.5,255,325,0
99.8,14,462,1
71.5,592,178,0
107.2,28,345,1
87.5,162,310,0
96.3,88,500,1
74.5,392,208,0
111.5,18,500,1
80.8,262,350,0
97.4,40,442,1
68.8,632,188,0
104.8,22,398,1
84.2,192,285,0
95.4,92,500,1
72.8,545,232,0
108.5,38,500,1
83.4,242,330,0
100.2,15,465,1
70.5,608,182,0
106.1,28,348,1
86.8,178,315,0
96.8,85,500,1
75.8,380,212,0
110.1,20,500,1
81.5,258,335,0
98.8,42,445,1
69.8,615,192,0
105.7,30,402,1
85.5,185,290,0
95.1,95,500,1
74.2,528,235,0
109.2,45,500,1
82.8,235,340,0
99.7,12,468,1
71.9,588,185,0
107.1,25,352,1
87.2,172,320,0
96.7,82,500,1
75.1,395,215,0
111.8,18,500,1
80.2,265,345,0
97.5,48,448,1
68.1,648,195,0
103.5,35,405,1
84.1,195,295,0
95.8,88,500,1
73.5,542,238,0
108.8,42,500,1
83.5,245,325,0
100.1,14,472,1
70.8,605,188,0
106.5,28,355,1
86.5,168,325,0
96.2,92,500,1
76.5,388,218,0
111.1,12,500,1
81.1,252,350,0
98.2,40,452,1
69.2,635,198,0
104.2,26,408,1
85.2,182,300,0
95.5,95,500,1
74.8,532,242,0
109.5,48,500,1
82.2,232,355,0
99.4,15,475,1
71.2,595,192,0
107.8,32,358,1
87.8,175,330,0
96.9,80,500,1
75.5,382,222,0
112.5,18,500,1
80.5,270,360,0
97.1,42,455,1
68.5,642,202,0
105.1,24,412,1
84.5,192,305,0
95.2,85,500,1
72.5,548,245,0
108.2,35,500,1
83.8,248,340,0
100.5,10,478,1
70.2,612,195,0
106.8,28,362,1
86.2,162,335,0
96.5,88,500,1
76.2,375,225,0
110.5,15,500,1
81.8,255,365,0
98.5,45,458,1
69.5,625,205,0
105.4,32,415,1
85.8,188,310,0
95.9,92,500,1
73.2,538,248,0
109.8,40,500,1
82.5,242,345,0
99.8,12,482,1
71.5,602,198,0
107.2,26,365,1
87.5,172,340,0
96.3,82,500,1
74.5,398,228,0
111.5,20,500,1
80.8,268,370,0
97.4,48,462,1
68.8,638,208,0
104.8,35,418,1
84.2,185,315,0
95.4,95,500,1
72.8,532,252,0
108.5,42,500,1
83.4,258,350,0
100.2,14,485,1
70.5,615,202,0
106.1,22,368,1
86.8,195,325,0
96.8,80,500,1
75.8,392,232,0
110.1,18,500,1
81.5,262,375,0
98.8,45,465,1
69.8,628,212,0
105.7,28,422,1
85.5,182,320,0
95.1,88,500,1
74.2,545,255,0
109.2,38,500,1
82.8,245,360,0
99.7,12,488,1
71.9,605,205,0
107.1,30,372,1
87.2,188,345,0
96.7,85,500,1
75.1,385,235,0
111.8,15,500,1
80.2,275,380,0
97.5,42,468,1
68.1,650,215,0
103.5,24,425,1
84.1,192,325,0
95.8,92,500,1
73.5,538,258,0
108.8,45,500,1
83.5,232,365,0
100.1,18,492,1
70.8,618,208,0
106.5,32,375,1
86.5,185,350,0
96.2,82,500,1
76.5,395,238,0
111.1,12,500,1
81.1,268,385,0
98.2,48,472,1
69.2,642,218,0
104.2,35,428,1
85.2,188,335,0
95.5,95,500,1
74.8,542,262,0
109.5,42,500,1
82.2,252,370,0
99.4,14,495,1
71.2,635,212,0
107.8,28,378,1
87.8,192,355,0
96.9,85,500,1
75.5,382,242,0
112.5,10,500,1
80.5,275,390,0
97.1,35,475,1
68.5,650,222,0
105.1,26,432,1
84.5,195,340,0
95.2,88,500,1
72.5,555,265,0
108.2,42,500,1
83.8,242,375,0
100.5,15,498,1
70.2,628,215,0
106.8,32,382,1
86.2,188,360,0
96.5,82,500,1
76.2,388,245,0
110.5,18,500,1
81.8,265,395,0
98.5,45,478,1
69.5,645,225,0
105.4,38,435,1
85.8,185,345,0
95.9,92,500,1
73.2,548,268,0
109.8,48,500,1
82.5,255,380,0
99.8,12,500,1
71.5,640,228,0
107.2,25,385,1
87.5,192,365,0
96.3,95,500,1
74.5,385,248,0
111.5,15,500,1
80.8,272,402,0
97.4,42,482,1
68.8,650,232,0
104.8,28,438,1
84.2,188,350,0
95.4,85,500,1
72.8,550,272,0
108.5,35,500,1
83.4,248,385,0
100.2,18,500,1
70.5,635,235,0
106.1,32,388,1
86.8,195,370,0
96.8,88,500,1
75.8,392,252,0
110.1,12,500,1
81.5,268,405,0
98.8,45,485,1
69.8,648,238,0
105.7,38,442,1
85.5,182,355,0
95.1,92,500,1
74.2,542,275,0
109.2,42,500,1
82.8,252,388,0
99.7,15,500,1
71.9,642,242,0
107.1,28,392,1
87.2,192,375,0
96.7,85,500,1
75.1,382,255,0
111.8,20,500,1
80.2,275,412,0
97.5,35,488,1
68.1,650,245,0
103.5,26,445,1
84.1,195,360,0
95.8,88,500,1
73.5,555,278,0
108.8,42,500,1
83.5,245,392,0
100.1,12,500,1
70.8,645,248,0
106.5,32,395,1
86.5,188,382,0
96.2,82,500,1
76.5,385,262,0
111.1,18,500,1
81.1,265,415,0
98.2,45,492,1
69.2,650,252,0
104.2,38,448,1
85.2,185,365,0
95.5,92,500,1
74.8,548,282,0
109.5,48,500,1
82.2,255,395,0
99.4,15,500,1
71.2,650,255,0
107.8,25,398,1
87.8,192,388,0
96.9,95,500,1
75.5,382,265,0
112.5,12,500,1
80.5,272,418,0
97.1,42,495,1
68.5,650,260,0
105.1,28,452,1
84.5,188,370,0
95.2,85,500,1
72.5,550,285,0
108.2,35,500,1
83.8,248,402,0
100.5,18,500,1
70.2,635,265,0
106.8,32,455,1
86.2,195,385,0
96.5,88,500,1
76.2,392,268,0
110.5,15,500,1
81.8,268,422,0
98.5,45,498,1
69.5,648,270,0
105.4,38,458,1
85.8,182,375,0
95.9,92,500,1
73.2,542,288,0
109.8,42,500,1
82.5,252,405,0
99.8,15,500,1
71.5,642,275,0
107.2,28,462,1
87.5,192,392,0
96.3,85,500,1
74.5,382,272,0
111.5,20,500,1
80.8,275,425,0
97.4,35,500,1
68.1,650,278,0
104.8,26,465,1
84.2,195,382,0
95.4,88,500,1
72.8,555,292,0
108.5,42,500,1
83.4,245,408,0
100.2,12,500,1
70.5,645,282,0
106.1,32,468,1
86.8,188,395,0
96.8,82,500,1
75.8,385,275,0
110.1,18,500,1
81.5,265,428,0
98.8,45,500,1
69.8,650,285,0
105.7,38,472,1
85.5,185,388,0
95.1,92,500,1
74.2,548,295,0
109.2,48,500,1
82.8,255,412,0
99.7,15,500,1
71.9,650,288,0
107.1,25,475,1
87.2,192,402,0
96.7,95,500,1
75.1,382,278,0
111.8,12,500,1
80.2,272,432,0
97.5,42,500,1
68.5,650,292,0
103.5,28,478,1
84.1,188,385,0
95.8,85,500,1
73.5,550,295,0
108.8,35,500,1
83.5,248,415,0
100.1,18,500,1
70.8,635,295,0
106.5,32,482,1
86.5,195,405,0
96.2,88,500,1
76.5,392,282,0
111.1,15,500,1
81.1,268,435,0
98.2,45,500,1
69.2,648,298,0
104.2,38,485,1
85.2,182,392,0
95.5,92,500,1
74.8,542,302,0
109.5,42,500,1
82.2,252,418,0
99.4,15,500,1
71.2,642,302,0
107.8,28,488,1
87.8,192,412,0
96.9,85,500,1
75.5,382,285,0
112.5,20,500,1
80.5,275,442,0
97.1,35,500,1
68.1,650,305,0
105.1,26,492,1
84.5,195,402,0
95.2,88,500,1
72.5,555,308,0
108.2,42,500,1
83.8,245,422,0
100.5,12,500,1
70.2,645,302,0
106.8,32,495,1
86.2,188,412,0
96.5,82,500,1
76.2,385,288,0
110.5,18,500,1
81.8,265,445,0
98.5,45,500,1
69.5,650,312,0
105.4,38,498,1
85.8,185,405,0
95.9,92,500,1
73.2,548,315,0
109.8,48,500,1
82.5,255,425,0
99.8,15,500,1
71.5,650,312,0
107.2,25,500,1
87.5,192,415,0
96.3,95,500,1
74.5,382,292,0
111.5,12,500,1
80.8,272,448,0
97.4,42,500,1
68.8,650,318,0
104.8,28,500,1
84.2,188,408,0
95.4,85,500,1
72.8,550,322,0
108.5,35,500,1
83.4,248,432,0
100.2,18,500,1
70.5,635,315,0
106.1,32,500,1
86.8,195,418,0
96.8,88,500,1
75.8,392,295,0
110.1,15,500,1
81.5,268,452,0
98.8,45,500,1
69.8,648,322,0
105.7,38,500,1
85.5,182,412,0
95.1,92,500,1
74.2,542,325,0
109.2,42,500,1
82.8,252,435,0
99.7,15,500,1
71.9,642,322,0
107.1,28,500,1
87.2,192,422,0
96.7,85,500,1
75.1,382,298,0
111.8,20,500,1
80.2,275,455,0
97.5,35,500,1
68.1,650,328,0
103.5,26,500,1
84.1,195,415,0
95.8,88,500,1
73.5,555,332,0
108.8,42,500,1
83.5,245,438,0
100.1,12,500,1
70.8,645,325,0
106.5,32,500,1
86.5,188,425,0
96.2,82,500,1
76.5,385,302,0
111.1,18,500,1
81.1,265,458,0
98.2,45,500,1
69.2,650,335,0
104.2,38,500,1
85.2,185,418,0
95.5,92,500,1
74.8,548,338,0
109.5,48,500,1
82.2,255,442,0
99.4,15,500,1
71.2,650,338,0
107.8,25,500,1
87.8,192,432,0
96.9,95,500,1
75.5,382,305,0
112.5,12,500,1
80.5,272,462,0
97.1,42,500,1
68.5,650,342,0
105.1,28,500,1
84.5,188,425,0
95.2,85,500,1
72.5,550,345,0
108.2,35,500,1
83.8,248,445,0
100.5,18,500,1
70.2,635,338,0
106.8,32,500,1
86.2,195,432,0
96.5,88,500,1
76.2,392,308,0
110.5,15,500,1
81.8,268,465,0
98.5,45,500,1
69.5,648,345,0
105.4,38,500,1
85.8,182,428,0
95.9,92,500,1
73.2,542,348,0
109.8,42,500,1
82.5,252,468,0
99.8,15,500,1
71.5,642,345,0
107.2,28,500,1
87.5,192,435,0
96.3,85,500,1
74.5,382,312,0
111.5,20,500,1
80.8,275,472,0
97.4,35,500,1
68.1,650,352,0
104.8,26,500,1
84.2,195,432,0
95.4,88,500,1
72.8,555,355,0
108.5,42,500,1
83.4,245,475,0
100.2,12,500,1
70.5,645,348,0
106.1,32,500,1
86.8,188,442,0
96.8,82,500,1
75.8,385,315,0
110.1,18,500,1
81.5,265,482,0
98.8,45,500,1
69.8,650,358,0
105.7,38,500,1
85.5,185,435,0
95.1,92,500,1
74.2,548,362,0
109.2,48,500,1
82.8,255,485,0
99.7,15,500,1
71.9,650,362,0
107.1,25,500,1
87.2,192,442,0
96.7,95,500,1
75.1,382,318,0
111.8,12,500,1
80.2,272,492,0
97.5,42,500,1
68.5,650,365,0
103.5,28,500,1
84.1,188,442,0
95.8,85,500,1
73.5,550,368,0
108.8,35,500,1
83.5,248,495,0
100.1,18,500,1
70.8,635,365,0
106.5,32,500,1
86.5,195,445,0
96.2,88,500,1
76.5,392,322,0
111.1,15,500,1
81.1,268,500,0
98.2,45,500,1
69.2,648,372,0
104.2,38,500,1
85.2,182,442,0
95.5,92,500,1
74.8,542,375,0
109.5,42,500,1
82.2,252,500,0
99.4,15,500,1
71.2,642,375,0
107.8,28,500,1
87.8,192,448,0
96.9,85,500,1
75.5,382,325,0
112.5,20,500,1
80.5,275,500,0
97.1,35,500,1
68.1,650,382,0
105.1,26,500,1
84.5,195,445,0
95.2,88,500,1
72.5,555,385,0
108.2,42,500,1
83.8,245,500,0
100.5,12,500,1
70.2,645,382,0
106.8,32,500,1
86.2,188,452,0
96.5,82,500,1
76.2,385,328,0
110.5,18,500,1
81.8,265,500,0
98.5,45,500,1
69.5,650,388,0
105.4,38,500,1
85.8,185,448,0
95.9,92,500,1
73.2,548,392,0
109.8,48,500,1
82.5,255,500,0
99.8,15,500,1
71.5,650,392,0
107.2,25,500,1
87.5,192,452,0
96.3,95,500,1
74.5,382,332,0
111.5,12,500,1
80.8,272,500,0
97.4,42,500,1
68.8,650,395,0
104.8,28,500,1
84.2,188,452,0
95.4,85,500,1
72.8,550,398,0
108.5,35,500,1
83.4,248,500,0
100.2,18,500,1
70.5,635,395,0
106.1,32,500,1
86.8,195,458,0
96.8,88,500,1
75.8,392,335,0
110.1,15,500,1
81.5,268,500,0
98.8,45,500,1
69.8,648,402,0
105.7,38,500,1
85.5,182,455,0
95.1,92,500,1
74.2,542,405,0
109.2,42,500,1
82.8,252,500,0
99.7,15,500,1
71.9,642,402,0
107.1,28,500,1
87.2,192,462,0
96.7,85,500,1
75.1,382,338,0
111.8,20,500,1
80.2,275,500,0
97.5,35,500,1
